index,Package,Vulnerability,OS,Package_Version
213,vim,CVE-2019-12735,alpine:v3.10,8.1.1365
214,vim,CVE-2019-12735,alpine:v3.8,8.1.1365
215,vim,CVE-2016-1248,alpine:v3.8,8.0.0056-r0
216,vim,CVE-2017-5953,alpine:v3.8,8.0.0329-r0
217,vim,CVE-2017-6350,alpine:v3.8,8.0.1521-r0
218,vim,CVE-2017-6349,alpine:v3.8,8.0.1521-r0
219,vim,CVE-2017-5953,alpine:v3.6,8.0.0329-r0
220,vim,CVE-2016-1248,alpine:v3.6,8.0.0056-r0
221,vim,CVE-2016-1248,alpine:v3.7,8.0.0056-r0
222,vim,CVE-2019-12735,alpine:v3.7,8.0.1359-r2
223,vim,CVE-2017-5953,alpine:v3.7,8.0.0329-r0
224,vim,CVE-2016-1248,alpine:v3.4,7.4.1831-r2
225,vim,CVE-2017-5953,alpine:v3.4,7.4.1831-r3
226,vim,CVE-2016-1248,alpine:v3.3,7.4.943-r4
227,vim,CVE-2017-5953,alpine:v3.3,7.4.943-r5
228,vim,CVE-2016-1248,alpine:v3.5,8.0.0056-r0
229,vim,CVE-2017-5953,alpine:v3.5,8.0.0329-r0
230,vim,CVE-2017-17087,debian:8,2:7.4.488-7+deb8u4
231,vim,CVE-2008-3076,debian:8,2:7.2.010-1
232,vim,CVE-2019-12735,debian:8,2:7.4.488-7+deb8u4
233,vim,CVE-2008-2712,debian:8,1:7.1.314-3
234,vim,CVE-2008-3074,debian:8,2:7.2.010-1
235,vim,CVE-2002-1377,debian:8,6.1.263-1
236,vim,CVE-2017-6350,debian:8,2:7.4.488-7+deb8u3
237,vim,CVE-2016-1248,debian:8,2:7.4.488-7+deb8u1
238,vim,CVE-2008-4101,debian:8,2:7.2.010-1
239,vim,CVE-2008-3075,debian:8,2:7.2.010-1
240,vim,CVE-2017-6349,debian:8,2:7.4.488-7+deb8u3
241,vim,CVE-2007-2438,debian:8,1:7.1-022+1
242,vim,CVE-2007-2953,debian:8,1:7.1-056+1
243,vim,CVE-2017-1000382,debian:8,#MAXV#
244,vim,CVE-2008-4677,debian:8,#MAXV#
245,vim,CVE-2008-6235,debian:8,2:7.2.148-1
246,vim,CVE-2017-5953,debian:8,2:7.4.488-7+deb8u2
247,vim,CVE-2009-0316,debian:8,2:7.2.025-2
248,vim,CVE-2017-11109,debian:8,2:7.4.488-7+deb8u4
249,vim,CVE-2005-2368,debian:8,1:6.3-085+1
250,vim,CVE-2004-1138,debian:8,1:6.3-046+0sarge1
251,vim,CVE-2005-0069,debian:8,1:6.3-058+1
252,vim,CVE-2004-1138,debian:9,1:6.3-046+0sarge1
253,vim,CVE-2017-17087,debian:9,#MAXV#
254,vim,CVE-2016-1248,debian:9,2:8.0.0095-1
255,vim,CVE-2008-6235,debian:9,2:7.2.148-1
256,vim,CVE-2017-11109,debian:9,2:8.0.0197-4+deb9u1
257,vim,CVE-2017-6350,debian:9,2:8.0.0197-3
258,vim,CVE-2017-5953,debian:9,2:8.0.0197-2
259,vim,CVE-2005-2368,debian:9,1:6.3-085+1
260,vim,CVE-2002-1377,debian:9,6.1.263-1
261,vim,CVE-2007-2438,debian:9,1:7.1-022+1
262,vim,CVE-2008-4101,debian:9,2:7.2.010-1
263,vim,CVE-2008-3075,debian:9,2:7.2.010-1
264,vim,CVE-2008-3074,debian:9,2:7.2.010-1
265,vim,CVE-2009-0316,debian:9,2:7.2.025-2
266,vim,CVE-2008-3076,debian:9,2:7.2.010-1
267,vim,CVE-2017-1000382,debian:9,#MAXV#
268,vim,CVE-2008-2712,debian:9,1:7.1.314-3
269,vim,CVE-2005-0069,debian:9,1:6.3-058+1
270,vim,CVE-2008-4677,debian:9,#MAXV#
271,vim,CVE-2019-12735,debian:9,2:8.0.0197-4+deb9u2
272,vim,CVE-2017-6349,debian:9,2:8.0.0197-3
273,vim,CVE-2007-2953,debian:9,1:7.1-056+1
274,vim,CVE-2018-20786,debian:10,2:8.1.0693-1
275,vim,CVE-2004-1138,debian:10,1:6.3-046+0sarge1
276,vim,CVE-2017-17087,debian:10,2:8.0.1401-1
277,vim,CVE-2017-11109,debian:10,2:8.0.0197-5
278,vim,CVE-2008-4101,debian:10,2:7.2.010-1
279,vim,CVE-2008-2712,debian:10,1:7.1.314-3
280,vim,CVE-2007-2953,debian:10,1:7.1-056+1
281,vim,CVE-2008-3075,debian:10,2:7.2.010-1
282,vim,CVE-2017-6350,debian:10,2:8.0.0197-3
283,vim,CVE-2017-1000382,debian:10,#MAXV#
284,vim,CVE-2009-0316,debian:10,2:7.2.025-2
285,vim,CVE-2007-2438,debian:10,1:7.1-022+1
286,vim,CVE-2008-6235,debian:10,2:7.2.148-1
287,vim,CVE-2008-3074,debian:10,2:7.2.010-1
288,vim,CVE-2002-1377,debian:10,6.1.263-1
289,vim,CVE-2005-2368,debian:10,1:6.3-085+1
290,vim,CVE-2016-1248,debian:10,2:8.0.0095-1
291,vim,CVE-2005-0069,debian:10,1:6.3-058+1
292,vim,CVE-2008-4677,debian:10,#MAXV#
293,vim,CVE-2019-12735,debian:10,2:8.1.0875-4
294,vim,CVE-2017-5953,debian:10,2:8.0.0197-2
295,vim,CVE-2017-6349,debian:10,2:8.0.0197-3
296,vim,CVE-2008-3076,debian:10,2:7.2.010-1
297,vim,CVE-2017-17087,debian:unstable,2:8.0.1401-1
298,vim,CVE-2002-1377,debian:unstable,6.1.263-1
299,vim,CVE-2017-6350,debian:unstable,2:8.0.0197-3
300,vim,CVE-2017-11109,debian:unstable,2:8.0.0197-5
301,vim,CVE-2007-2953,debian:unstable,1:7.1-056+1
302,vim,CVE-2018-20786,debian:unstable,2:8.1.0693-1
303,vim,CVE-2008-4677,debian:unstable,#MAXV#
304,vim,CVE-2008-3076,debian:unstable,2:7.2.010-1
305,vim,CVE-2016-1248,debian:unstable,2:8.0.0095-1
306,vim,CVE-2008-2712,debian:unstable,1:7.1.314-3
307,vim,CVE-2017-6349,debian:unstable,2:8.0.0197-3
308,vim,CVE-2005-2368,debian:unstable,1:6.3-085+1
309,vim,CVE-2004-1138,debian:unstable,1:6.3-046+0sarge1
310,vim,CVE-2017-5953,debian:unstable,2:8.0.0197-2
311,vim,CVE-2005-0069,debian:unstable,1:6.3-058+1
312,vim,CVE-2009-0316,debian:unstable,2:7.2.025-2
313,vim,CVE-2008-3075,debian:unstable,2:7.2.010-1
314,vim,CVE-2008-3074,debian:unstable,2:7.2.010-1
315,vim,CVE-2008-6235,debian:unstable,2:7.2.148-1
316,vim,CVE-2019-12735,debian:unstable,2:8.1.0875-4
317,vim,CVE-2007-2438,debian:unstable,1:7.1-022+1
318,vim,CVE-2017-1000382,debian:unstable,#MAXV#
319,vim,CVE-2008-4101,debian:unstable,2:7.2.010-1
320,vim,CVE-2016-1248,ubuntu:12.04,2:7.3.429-2ubuntu2.2
321,vim,CVE-2017-5953,ubuntu:12.04,#MAXV#
322,vim,CVE-2017-6350,ubuntu:12.04,#MAXV#
323,vim,CVE-2017-6349,ubuntu:12.04,#MAXV#
324,vim,CVE-2017-17087,ubuntu:12.04,#MAXV#
325,vim,CVE-2017-11109,ubuntu:12.04,#MAXV#
326,vim,CVE-2017-6349,ubuntu:16.04,#MAXV#
327,vim,CVE-2017-17087,ubuntu:16.04,#MAXV#
328,vim,CVE-2017-5953,ubuntu:16.04,2:7.4.1689-3ubuntu1.3
329,vim,CVE-2017-6350,ubuntu:16.04,#MAXV#
330,vim,CVE-2016-1248,ubuntu:16.04,2:7.4.1689-3ubuntu1.2
331,vim,CVE-2017-11109,ubuntu:16.04,#MAXV#
332,vim,CVE-2019-12735,ubuntu:16.04,2:7.4.1689-3ubuntu1.3
333,vim,CVE-2017-6349,ubuntu:14.04,#MAXV#
334,vim,CVE-2017-17087,ubuntu:14.04,#MAXV#
335,vim,CVE-2017-6350,ubuntu:14.04,#MAXV#
336,vim,CVE-2017-5953,ubuntu:14.04,#MAXV#
337,vim,CVE-2017-11109,ubuntu:14.04,#MAXV#
338,vim,CVE-2016-1248,ubuntu:14.04,2:7.4.052-1ubuntu3.1
339,vim,CVE-2019-12735,ubuntu:18.04,2:8.0.1453-1ubuntu1.1
340,vim,CVE-2018-20786,ubuntu:18.04,#MAXV#
341,vim,CVE-2019-12735,ubuntu:18.10,2:8.0.1766-1ubuntu1.1
342,vim,CVE-2016-1248,ubuntu:16.10,2:7.4.1829-1ubuntu2.1
343,perl,CVE-2017-12837,alpine:v3.9,5.26.1-r0
344,perl,CVE-2017-12883,alpine:v3.9,5.26.1-r0
345,perl,CVE-2018-18314,alpine:v3.9,5.26.3-r0
346,perl,CVE-2018-6913,alpine:v3.9,5.26.2-r0
347,perl,CVE-2018-18311,alpine:v3.9,5.26.3-r0
348,perl,CVE-2018-6798,alpine:v3.9,5.26.2-r0
349,perl,CVE-2018-18313,alpine:v3.9,5.26.3-r0
350,perl,CVE-2018-12015,alpine:v3.9,5.26.2-r1
351,perl,CVE-2018-6797,alpine:v3.9,5.26.2-r0
352,perl,CVE-2018-18312,alpine:v3.9,5.26.3-r0
353,perl,CVE-2016-9840,alpine:v3.5,5.24.3-r1
354,perl,CVE-2016-9841,alpine:v3.5,5.24.3-r1
355,perl,CVE-2018-6913,alpine:v3.5,5.24.4-r0
356,perl,CVE-2018-6797,alpine:v3.5,5.24.4-r0
357,perl,CVE-2016-9843,alpine:v3.5,5.24.3-r1
358,perl,CVE-2016-9842,alpine:v3.5,5.24.3-r1
359,perl,CVE-2018-6798,alpine:v3.5,5.24.4-r0
360,perl,CVE-2017-12837,alpine:v3.5,5.24.3-r0
361,perl,CVE-2018-12015,alpine:v3.5,5.24.4-r1
362,perl,CVE-2017-12883,alpine:v3.5,5.24.3-r0
363,perl,CVE-2018-18313,alpine:v3.7,5.26.3-r0
364,perl,CVE-2018-18311,alpine:v3.7,5.26.3-r0
365,perl,CVE-2018-18312,alpine:v3.7,5.26.3-r0
366,perl,CVE-2018-6798,alpine:v3.7,5.26.2-r0
367,perl,CVE-2018-6913,alpine:v3.7,5.26.2-r0
368,perl,CVE-2018-6797,alpine:v3.7,5.26.2-r0
369,perl,CVE-2018-12015,alpine:v3.7,5.26.2-r1
