,Unnamed: 0,index,Package,Vulnerability,OS,Package_Version,OS_base_name,Date_Reported,Date_Fixed,Days_For_Fix
125,414,414,perl,CVE-2010-1447,debian:10,5.12.3-1,debian,2005-12-23,,
126,417,417,perl,CVE-2010-4411,debian:10,5.10.1-17,debian,2010-12-06,,
127,418,418,perl,CVE-2008-2827,debian:10,5.10.0-11,debian,2008-06-20,,
128,420,420,perl,CVE-2011-4116,debian:10,#MAXV#,debian,,,
129,422,422,perl,CVE-2013-1667,debian:10,5.14.2-19,debian,2013-03-04,,
130,423,423,perl,CVE-2004-0976,debian:10,5.8.4-4,debian,2004-09-30,,
131,424,424,perl,CVE-2014-4330,debian:10,5.20.1-1,debian,2014-09-25,,
132,425,425,perl,CVE-2003-0615,debian:10,5.8.0-19,debian,2003-07-20,,
133,426,426,perl,CVE-2012-5195,debian:10,5.14.2-14,debian,2012-10-26,,
134,427,427,perl,CVE-2011-2728,debian:10,5.14.2-1,debian,2011-09-29,,
135,428,428,perl,CVE-2007-4829,debian:10,5.10.0-19,debian,2007-11-03,,
136,429,429,perl,CVE-2008-1927,debian:10,5.10.0-1,debian,2008-04-24,,
137,431,431,perl,CVE-2005-0448,debian:10,5.8.4-7,debian,2005-03-09,,
138,434,434,perl,CVE-2002-1323,debian:10,5.8.0-14,debian,2002-11-05,,
139,435,435,perl,CVE-2012-5526,debian:10,5.14.2-16,debian,2012-11-16,,
140,436,436,perl,CVE-2010-1168,debian:10,5.10.1-13,debian,2005-12-23,,
141,437,437,perl,CVE-2002-0703,debian:10,5.8.0-7,debian,2002-05-10,,
142,438,438,perl,CVE-2004-0452,debian:10,5.8.4-5,debian,2004-12-21,,
143,439,439,perl,CVE-2010-2761,debian:10,5.10.1-17,debian,2010-12-06,,
144,440,440,perl,CVE-2015-8853,debian:10,5.22.1-1,debian,2016-04-20,,
145,441,441,perl,CVE-2005-0156,debian:10,5.8.4-6,debian,2005-02-02,,
146,442,442,perl,CVE-2015-8607,debian:10,5.22.1-4,debian,2016-01-11,,
